epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,976.625,0.83809,1.14366,1.26263,0.94755,0.98647,0.95635,0.57737,0.97367,1.05261,1.32753,0.000412137,0.000412137,0.000412137
73,990.392,0.84508,1.10221,1.26729,0.94012,0.98477,0.95797,0.61333,0.90726,1.00883,1.26132,0.0004109,0.0004109,0.0004109
74,1003.66,0.87299,1.17895,1.32894,0.95477,0.98606,0.97165,0.6481,0.84874,0.98193,1.23371,0.000409662,0.000409662,0.000409662
75,1017.58,0.86938,1.16762,1.30587,0.94951,0.98518,0.97947,0.63042,0.91018,1.00764,1.26286,0.000408425,0.000408425,0.000408425
76,1030.93,0.87887,1.1506,1.28816,0.90245,0.97563,0.97932,0.62908,0.8923,1.03258,1.27683,0.000407187,0.000407187,0.000407187
77,1044.41,0.91361,1.19244,1.34652,0.92579,0.97457,0.96984,0.62555,0.85987,0.99783,1.23929,0.00040595,0.00040595,0.00040595
78,1057.89,0.87718,1.14885,1.30292,0.95351,0.97873,0.97062,0.62768,0.89207,1.05096,1.24007,0.000404713,0.000404713,0.000404713
79,1071.23,0.86859,1.20314,1.31357,0.94625,0.9875,0.97554,0.63896,0.85792,1.05527,1.22261,0.000403475,0.000403475,0.000403475
80,1084.56,0.8687,1.14947,1.29431,0.93271,0.98409,0.96649,0.62353,0.86518,1.07237,1.22541,0.000402237,0.000402237,0.000402237
81,1097.91,0.85781,1.13215,1.26655,0.92814,0.9875,0.96168,0.61734,0.91753,1.11651,1.25153,0.000401,0.000401,0.000401
82,1111.86,0.82976,1.1102,1.24494,0.8883,0.98102,0.95493,0.61103,0.8601,1.09387,1.21497,0.000399763,0.000399763,0.000399763
83,1125.11,0.81535,1.06039,1.25742,0.9428,0.9875,0.96317,0.62912,0.89372,1.05132,1.22746,0.000398525,0.000398525,0.000398525
84,1138.57,0.79817,1.0925,1.24612,0.94169,0.98253,0.96877,0.65075,0.85825,0.97829,1.20135,0.000397288,0.000397288,0.000397288
85,1152.48,0.82288,1.12292,1.27212,0.94718,0.9875,0.96732,0.64458,0.84912,0.98455,1.20714,0.00039605,0.00039605,0.00039605
86,1165.94,0.82352,1.07858,1.2647,0.95143,0.9843,0.97095,0.63833,0.86795,1.01382,1.23357,0.000394813,0.000394813,0.000394813
87,1179.21,0.82346,1.05612,1.26661,0.95012,0.97899,0.98505,0.64126,0.89467,1.00722,1.24566,0.000393575,0.000393575,0.000393575
88,1192.53,0.84796,1.08911,1.29128,0.95284,0.9875,0.98499,0.63711,0.88835,1.00455,1.21576,0.000392337,0.000392337,0.000392337
89,1205.94,0.82223,1.07971,1.28953,0.93997,0.9875,0.98447,0.60107,0.96176,1.01607,1.26569,0.0003911,0.0003911,0.0003911
90,1219.31,0.8434,1.07002,1.27777,0.90842,0.9875,0.98012,0.62359,0.86027,1.01085,1.20082,0.000389862,0.000389862,0.000389862
91,1232.93,0.84717,1.102,1.28919,0.91785,0.9875,0.98053,0.63527,0.84253,0.99563,1.19101,0.000388625,0.000388625,0.000388625
92,1246.22,0.82493,1.07775,1.26349,0.93153,0.97428,0.973,0.64079,0.83121,0.9731,1.1719,0.000387388,0.000387388,0.000387388
93,1259.56,0.82442,1.05065,1.28139,0.94579,0.9859,0.9776,0.62273,0.92157,0.98271,1.23579,0.00038615,0.00038615,0.00038615
94,1273.01,0.82682,1.05455,1.26947,0.94802,0.9875,0.96935,0.63729,0.86744,0.91925,1.20324,0.000384913,0.000384913,0.000384913
95,1286.44,0.80717,1.02485,1.24206,0.95116,0.9875,0.97028,0.6292,0.86674,0.94901,1.20867,0.000383675,0.000383675,0.000383675
96,1299.9,0.84258,1.05737,1.26826,0.95027,0.9875,0.96996,0.57266,0.99682,1.00331,1.31366,0.000382438,0.000382438,0.000382438
97,1313.28,0.83068,1.07597,1.26422,0.94652,0.9875,0.97127,0.58918,0.98106,1.03332,1.30218,0.0003812,0.0003812,0.0003812
98,1326.72,0.8216,1.0799,1.26147,0.95625,0.9875,0.97137,0.62926,0.92111,1.00121,1.27199,0.000379963,0.000379963,0.000379963
99,1340.37,0.81179,1.08262,1.24577,0.94842,0.9875,0.97016,0.63168,0.91591,0.96972,1.26228,0.000378725,0.000378725,0.000378725
100,1353.6,0.81412,1.06816,1.2636,0.94679,0.9875,0.96588,0.63187,0.86956,0.96878,1.23141,0.000377487,0.000377487,0.000377487
101,1366.99,0.81142,1.07814,1.25874,0.95477,0.9875,0.97595,0.63872,0.86411,0.95128,1.23354,0.00037625,0.00037625,0.00037625
102,1380.27,0.83623,1.0893,1.27205,0.94862,0.9875,0.97251,0.6415,0.87298,0.94898,1.24233,0.000375013,0.000375013,0.000375013
103,1393.66,0.7935,1.04648,1.23852,0.95028,0.9875,0.97443,0.60072,0.982,1.02323,1.3666,0.000373775,0.000373775,0.000373775
104,1406.92,0.81468,1.02988,1.24156,0.94908,0.9875,0.96804,0.65048,0.87115,0.97957,1.22993,0.000372537,0.000372537,0.000372537
105,1420.51,0.81975,1.03887,1.25665,0.94668,0.9875,0.96549,0.65,0.87821,0.95522,1.23981,0.0003713,0.0003713,0.0003713
106,1433.86,0.8244,1.08818,1.25649,0.95357,0.9875,0.96473,0.64082,0.92521,0.98305,1.27057,0.000370063,0.000370063,0.000370063
107,1447.24,0.81268,1.07088,1.24256,0.95462,0.98263,0.96719,0.645,0.88277,0.97415,1.25271,0.000368825,0.000368825,0.000368825
108,1461.05,0.82115,1.05014,1.26679,0.95181,0.9875,0.97361,0.65071,0.87263,0.95565,1.22584,0.000367587,0.000367587,0.000367587
109,1474.82,0.8129,1.01466,1.23137,0.95155,0.9875,0.98317,0.65143,0.86761,0.95917,1.20999,0.00036635,0.00036635,0.00036635
110,1488.6,0.82268,1.07244,1.25866,0.95449,0.98674,0.98259,0.66899,0.86424,0.96313,1.23207,0.000365113,0.000365113,0.000365113
111,1502.5,0.83567,1.09692,1.28579,0.9454,0.98335,0.98136,0.65792,0.88525,0.95471,1.24216,0.000363875,0.000363875,0.000363875
