epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1502.14,0.67036,0.87174,1.0681,0.92591,0.9623,0.97504,0.63244,0.95782,1.048,1.2944,0.000413375,0.000413375,0.000413375
72,1523.44,0.65275,0.86104,1.0564,0.92834,0.96442,0.97543,0.61286,1.04272,1.09243,1.39204,0.000412137,0.000412137,0.000412137
73,1544.37,0.65879,0.85308,1.06951,0.91142,0.97013,0.98289,0.63772,0.9584,1.05405,1.29941,0.0004109,0.0004109,0.0004109
74,1565.93,0.66565,0.88355,1.06984,0.91199,0.92804,0.9708,0.59725,0.98894,1.113,1.33183,0.000409662,0.000409662,0.000409662
75,1586.85,0.66501,0.88992,1.05996,0.90712,0.95038,0.95808,0.60531,0.97456,1.11095,1.30513,0.000408425,0.000408425,0.000408425
76,1607.81,0.66743,0.8768,1.05289,0.92509,0.95646,0.9635,0.61679,0.91535,1.0424,1.24311,0.000407187,0.000407187,0.000407187
77,1629.15,0.65148,0.85221,1.05932,0.92435,0.95461,0.95309,0.6022,0.9213,1.06542,1.26169,0.00040595,0.00040595,0.00040595
78,1650.06,0.65377,0.85268,1.05445,0.9172,0.95123,0.93842,0.61468,0.90193,1.10107,1.23205,0.000404713,0.000404713,0.000404713
79,1671.12,0.65502,0.8663,1.05628,0.91436,0.95269,0.94895,0.61807,0.95172,1.09563,1.32052,0.000403475,0.000403475,0.000403475
80,1692.15,0.67929,0.87777,1.06239,0.93589,0.96497,0.96381,0.61172,0.963,1.14685,1.33446,0.000402237,0.000402237,0.000402237
81,1713.18,0.6454,0.87306,1.04375,0.92023,0.95859,0.95181,0.6133,0.93756,1.0957,1.28784,0.000401,0.000401,0.000401
82,1734.14,0.64634,0.86222,1.0588,0.92072,0.95695,0.95495,0.60237,0.93632,1.02837,1.29656,0.000399763,0.000399763,0.000399763
83,1755.23,0.64664,0.847,1.04359,0.9193,0.95133,0.94527,0.6073,0.92759,1.04304,1.2857,0.000398525,0.000398525,0.000398525
84,1776.6,0.64314,0.86038,1.05139,0.91632,0.96071,0.95538,0.61525,0.95378,1.07752,1.328,0.000397288,0.000397288,0.000397288
85,1797.47,0.64341,0.84583,1.04683,0.93815,0.96638,0.96158,0.61063,1.01128,1.13675,1.37669,0.00039605,0.00039605,0.00039605
86,1818.38,0.6428,0.86018,1.04632,0.92127,0.97013,0.96251,0.61348,0.98641,1.12381,1.33289,0.000394813,0.000394813,0.000394813
87,1839.4,0.64023,0.8626,1.04991,0.93961,0.94985,0.95005,0.63168,0.94065,1.08403,1.2828,0.000393575,0.000393575,0.000393575
88,1860.47,0.64058,0.84452,1.0543,0.93655,0.95142,0.95145,0.61974,0.95703,1.10357,1.32769,0.000392337,0.000392337,0.000392337
89,1881.53,0.63212,0.83738,1.03284,0.93076,0.95862,0.95292,0.60549,0.96853,1.05831,1.32285,0.0003911,0.0003911,0.0003911
90,1902.5,0.63595,0.8347,1.04491,0.9333,0.96559,0.96402,0.61256,0.96539,1.03525,1.32403,0.000389862,0.000389862,0.000389862
91,1923.38,0.64187,0.82849,1.04519,0.92605,0.96675,0.96467,0.63716,0.95716,1.06524,1.32071,0.000388625,0.000388625,0.000388625
92,1944.78,0.61478,0.8214,1.03553,0.91296,0.96531,0.95922,0.63048,0.9379,1.0622,1.27307,0.000387388,0.000387388,0.000387388
93,1965.77,0.61463,0.80598,1.02799,0.9158,0.95384,0.96436,0.62265,0.98114,1.1008,1.33115,0.00038615,0.00038615,0.00038615
94,1986.79,0.6016,0.80647,1.02623,0.91172,0.95919,0.9669,0.62766,0.93998,1.06902,1.28075,0.000384913,0.000384913,0.000384913
95,2007.74,0.61069,0.79102,1.03188,0.91229,0.96651,0.96848,0.61942,0.94711,1.08583,1.30389,0.000383675,0.000383675,0.000383675
96,2028.65,0.61101,0.79232,1.02841,0.9345,0.97946,0.95834,0.62289,0.9846,1.04714,1.34699,0.000382438,0.000382438,0.000382438
97,2049.58,0.61249,0.79231,1.03158,0.88393,0.97866,0.95747,0.62689,0.95394,1.0932,1.31386,0.0003812,0.0003812,0.0003812
98,2070.54,0.60367,0.79994,1.02477,0.92996,0.96413,0.95549,0.62263,0.94171,1.00322,1.29564,0.000379963,0.000379963,0.000379963
99,2091.53,0.60721,0.80597,1.01861,0.93569,0.96516,0.96687,0.63863,0.95736,1.01315,1.31306,0.000378725,0.000378725,0.000378725
100,2112.91,0.60485,0.80684,1.02573,0.9248,0.94388,0.96602,0.64362,0.93636,1.03196,1.27678,0.000377487,0.000377487,0.000377487
101,2134.28,0.6042,0.79992,1.01662,0.91013,0.95219,0.96248,0.63279,0.96446,1.02737,1.32295,0.00037625,0.00037625,0.00037625
102,2155.3,0.59946,0.7875,1.0193,0.89829,0.9459,0.94163,0.6216,0.941,1.00625,1.28754,0.000375013,0.000375013,0.000375013
103,2176.16,0.60411,0.79296,1.02034,0.94141,0.92905,0.94656,0.61471,0.95489,1.02826,1.31295,0.000373775,0.000373775,0.000373775
104,2197.17,0.61619,0.79529,1.03745,0.92522,0.91675,0.93391,0.602,0.97566,1.06995,1.34168,0.000372537,0.000372537,0.000372537
105,2218.21,0.61648,0.79898,1.03016,0.90845,0.94424,0.95338,0.60454,0.98573,1.10337,1.33444,0.0003713,0.0003713,0.0003713
106,2239.2,0.59879,0.78291,1.01939,0.92196,0.96254,0.96425,0.61351,0.98416,1.07328,1.33681,0.000370063,0.000370063,0.000370063
107,2260.67,0.60428,0.79278,1.02795,0.92532,0.95696,0.95353,0.60738,0.94369,1.03781,1.32026,0.000368825,0.000368825,0.000368825
